texto,clase_bloque
Valor Venta,OTROS
"S/ 1,808.00]",BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,OTROS
IGV,OTROS
S/ 325.44,BLOQUE_MONTOS
SON: DOS MIL CIENTO TREINTA Y TRES Y 44/100 SOLES,BLOQUE_MONEDA
ICBPER :,OTROS
S/ 0.00,OTROS
Orden de Compra : 4600738236,OTROS
Otros Cargos,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de redondeo,OTROS
S/ 0.00,OTROS
Importe Total :,OTROS
"S/ 2,133.44",BLOQUE_MONTOS
Información del crédito,OTROS
Monto neto pendiente de pago,OTROS
"S/ 2,069.44",OTROS
Total de Cuotas,OTROS
1,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
N Cuota,OTROS
.Fec. Venc.,OTROS
Monto,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
1,OTROS
14/05/2026,BLOQUE_FECHA
"2,069.44",OTROS
Información de la retención,OTROS
Base imponible de la,OTROS
Retención:,OTROS
S/ 2133.44,BLOQUE_MONTOS
Porcentaje de retención: 3.00%,OTROS
Monto de la retención: S/ 64,OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SUNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
F & L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC: 20515915428,BLOQUE_EMISOR
E001-1211,BLOQUE_COMPROBANTE
LIMA - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 14/04/2026,BLOQUE_FECHA
Forma de pago: Crédito,OTROS
Senor(es),OTROS
: DELOSI S.A.,BLOQUE_RECEPTOR
RUC,OTROS
: 20100123330,BLOQUE_RECEPTOR
AV. JAVIER PRADO OESTE 1650,OTROS
AV. JAVIER PRADO OESTE 1650,OTROS
Dirección del Cliente,OTROS
: LIMA-LIMA-SAN ISIDRO,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
PAGO AFECTO A DETRACCION,OTROS
Observación,OTROS
: DE12%,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
MANTENIMIENTO PREVENTIVO DE GRUPO,OTROS
1450.80,BLOQUE_MONTOS
0.00,OTROS
ELECTROGENO CAR01- MAZO2025 OS.40891450,OTROS
Sub Total Ventas :,OTROS
S/ 1.450.80,BLOQUE_MONTOS
Anticipos,OTROS
S/ 0.00,OTROS
Valor de Venta de Operaciones Gratuitas : S/ 0.00,OTROS
Descuentos,OTROS
S/ 0.00,OTROS
Valor Venta,OTROS
"S/ 1,450.80",BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,OTROS
IGV,OTROS
S/ 261.14,BLOQUE_MONTOS
SON: UN MIL SETECIENTOS ONCE Y 94/100 SOLES,BLOQUE_MONEDA
ICBPER :,OTROS
S/ 0.00,OTROS
Orden de Compra : 4600629396,OTROS
Otros Cargos,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de redondeo,OTROS
S/ 0.00,OTROS
Importe Total,OTROS
"S/ 1,711.94",BLOQUE_MONTOS
Información de la detracción,OTROS
Leyenda:,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno Central,OTROS
Bien o Servicio:,OTROS
020 Mantenimiento y reparación de bienes muebles,OTROS
Medio de pago:,OTROS
003 Transferencia de fondos,OTROS
Nro. Cta. Banco de la Nacion:,OTROS
00060031541,OTROS
Porcentaje de detracción:,OTROS
12.00,OTROS
Monto detracción:,OTROS
S/ 205.00,OTROS
Información del crédito,OTROS
Monto neto pendiente de pago,OTROS
S/1.506.94,OTROS
Total de Cuotas,OTROS
1,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
N Cuota,OTROS
Fec. Venc.,OTROS
Monto,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
1,OTROS
14/05/2026,BLOQUE_FECHA
"1,506.94",OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
F & L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC: 20515915428,BLOQUE_EMISOR
E001-1212,BLOQUE_COMPROBANTE
LIMA - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 14/04/2026,BLOQUE_FECHA
Forma de pago: Crédito,OTROS
Senor(es),OTROS
: DELOSI S.A.,BLOQUE_RECEPTOR
RUC,OTROS
: 20100123330,BLOQUE_RECEPTOR
AV. JAVIER PRAD0 OESTE 1650,OTROS
AV. JAVIER PRADO 0ESTE 1650,OTROS
Dirección del Cliente,OTROS
: LIMA-LIMA-SAN ISIDRO,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
PAGO AFECTO A DETRACCION DEL,OTROS
Observación,OTROS
: 12%,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
MANTENIMIENTO DE GRUPO ELECTROGENO CALL01 -,OTROS
2150.00,BLOQUE_MONTOS
0.00,OTROS
MARZO 2025 OS.40891449,OTROS
Sub Total Ventas :,OTROS
"S/ 2,150.00",BLOQUE_MONTOS
Anticipos,OTROS
S/ 0.00,OTROS
Descuentos,OTROS
Valor de Venta de Operaciones Gratuitas : S/ 0.00,OTROS
S/ 0.00,OTROS
Valor Venta,OTROS
"S/ 2,150.00",BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,OTROS
IGV,OTROS
S/ 387.00,BLOQUE_MONTOS
SON: DOS MIL QUINIENTOS TREINTA Y SIETE Y 00/100 SOLES,BLOQUE_MONEDA
ICBPER :,OTROS
S/ 0.00,OTROS
Orden de Compra : 4600629395,OTROS
Otros Cargos,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de redondeo,OTROS
S/ 0.00,OTROS
Importe Total,OTROS
"S/ 2,537.00",BLOQUE_MONTOS
Información de la detracción,OTROS
Leyenda:,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno Central,OTROS
Bien o Servicio:,OTROS
020 Mantenimiento y reparación de bienes muebles,OTROS
Medio de pago:,OTROS
003 Transferencia de fondos,OTROS
Nro. Cta. Banco de la Nacion:,OTROS
00060031541,OTROS
Porcentaje de detracción:,OTROS
12.00,OTROS
Monto detracción:,OTROS
S/ 304.00,OTROS
Información del crédito,OTROS
Monto neto pendiente de pago,OTROS
"S/ 2,233.00",OTROS
Total de Cuotas,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
N Cuota,OTROS
Fec. Venc.,OTROS
Monto,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
1,OTROS
14/05/2026,BLOQUE_FECHA
"2,233.00",OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
F & L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC: 20515915428,BLOQUE_EMISOR
E001-1213,BLOQUE_COMPROBANTE
LIMA - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 14/04/2026,BLOQUE_FECHA
Forma de pago: Crédito,OTROS
Senor(es),OTROS
: DELOSI S.A.,BLOQUE_RECEPTOR
RUC,OTROS
: 20100123330,BLOQUE_RECEPTOR
AV. JAVIER PRAD0 OESTE 1650,OTROS
AV. JAVIER PRADO OESTE 1650,OTROS
Dirección del Cliente,OTROS
: LIMA-LIMA-SAN ISIDRO,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
PAGO AFECTO A DETRACCION DEL,OTROS
Observación,OTROS
: 12%,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,BLOQUE_MONTOS
UNIDAD,OTROS
MANTENIMIENTO RUTINARIO GRUPO ELECTROGEN,OTROS
1100.00,BLOQUE_MONTOS
0.00,OTROS
CAR01- JUNIO 2025 OS.40926260,OTROS
Sub Total Ventas :,OTROS
"S/ 1,100.00",BLOQUE_MONTOS
Anticipos,OTROS
S/ 0.00,OTROS
Descuentos,OTROS
Valor de Venta de Operaciones Gratuitas : S/ 0.00,OTROS
S/ 0.00,OTROS
Valor Venta,OTROS
"S/ 1,100.00",BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,OTROS
IGV,OTROS
S/ 198.00],BLOQUE_MONTOS
SON: UN MIL DOSCIENTOS NOVENTA Y OCHO Y 00/100 SOLES,BLOQUE_MONEDA
ICBPER :,OTROS
S/ 0.00,OTROS
Orden de Compra : 4600656228,OTROS
Otros Cargos,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de redondeo,OTROS
S/ 0.00,OTROS
Importe Total,OTROS
"S/ 1,298.00",BLOQUE_MONTOS
Información de la detracción,OTROS
Leyenda:,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno Central,OTROS
Bien o Servicio:,OTROS
020 Mantenimiento y reparación de bienes muebles,OTROS
Medio de pago:,OTROS
003 Transferencia de fondos,OTROS
Nro. Cta. Banco de la Nacion:,OTROS
00060031541,OTROS
Porcentaje de detracción:,OTROS
12.00,OTROS
Monto detracción:,OTROS
S/ 156.00,OTROS
Información del crédito,OTROS
Monto neto pendiente de pago,OTROS
"S/ 1,142.00",OTROS
Total de Cuotas,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
N Cuota,OTROS
Fec. Venc.,OTROS
Monto,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
1,OTROS
14/05/2026,BLOQUE_FECHA
"1,142.00",OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
CREACIONESBRANJAIR,OTROS
CAMARENA FLORES GRIMALDO MIGUEL,BLOQUE_EMISOR
CAL.4MZ P ASOC TRADICIONES R.PALMA INT.LT9,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
SANJUANDEMIRAFLORES-LIMA-LIMA,OTROS
RUC10073390911,BLOQUE_EMISOR
E001-74,BLOQUE_COMPROBANTE
Fecha de Emisin,OTROS
Seor(es),OTROS
27/02/2025,BLOQUE_FECHA
SUCARI ATAMARI RUTH ELIDA,BLOQUE_RECEPTOR
Forma de pago:Contado,OTROS
RUC,OTROS
10409273691,BLOQUE_RECEPTOR
Establecimiento del Emiso,OTROS
CAL.4MZP-ASOC TRADICIONES,OTROS
R.PALMA INT.LT 9LIMA-LIMA-SAN,OTROS
Tipo de Moneda,OTROS
JUAN DE MIRAFLORES,OTROS
Observacion,OTROS
:SOLES,BLOQUE_MONEDA
Cantidad,OTROS
Unidad Medida,OTROS
Codigo,OTROS
40.00,OTROS
UNAIND,OTROS
Descripcion,OTROS
0001,OTROS
CAMISAS COLOR ENTERO,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
16.95,OTROS
0.00,OTROS
Sub Total Ventas,OTROS
S/678.00,BLOQUE_MONTOS
Valor de Venta de Operaciones Gratuitas:S/0.00,OTROS
Anticipos,OTROS
S/0.00,OTROS
Descuentos,OTROS
S/0.00,OTROS
Valor Venta,OTROS
S/678.00,BLOQUE_MONTOS
SON:OCHOCIENTOSY04/100SOLES,BLOQUE_MONEDA
ISC,OTROS
S/0.00,OTROS
IGV,OTROS
S/122.04,BLOQUE_MONTOS
ICBPER,OTROS
S/0.00,OTROS
Otros Cargos,OTROS
S/0.00,OTROS
S/0.00,OTROS
Monto de redondeo,OTROS
S/0.00,OTROS
"sta es una representacion impresa de la factura electrónica, generada en el Sistema de SUNAT. Puede",BLOQUE_COMPROBANTE
Importe Total,OTROS
S/800.04,BLOQUE_MONTOS
verificarla utilizando su clave SOl,OTROS
TCL10sE,OTROS
DISPLAY GREATNESS,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
F & L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC: 20515915428,BLOQUE_EMISOR
E001-1214,BLOQUE_COMPROBANTE
LIMA - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 14/04/2026,BLOQUE_FECHA
Forma de pago: Crédito,OTROS
Senor(es),OTROS
: DELOSI S.A.,BLOQUE_RECEPTOR
RUC,OTROS
: 20100123330,BLOQUE_RECEPTOR
AV. JAVIER PRAD0 OESTE 1650,OTROS
AV. JAVIER PRADO OESTE 1650,OTROS
Dirección del Cliente,OTROS
: LIMA-LIMA-SAN ISIDRO,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
PAGO AFECTO A DETRACCION DEL,OTROS
Observación,OTROS
: 12%,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
MANTENIMIENTO CORRECTIVO DE GRUPO,OTROS
6687.10,BLOQUE_MONTOS
0.00,OTROS
ELECTROGENO CAR01- MARZO 2026 OS.41023834,OTROS
Sub Total Ventas :,OTROS
S/ 6.687.10,BLOQUE_MONTOS
Anticipos,OTROS
S/ 0.00,OTROS
Descuentos,OTROS
Valor de Venta de Operaciones Gratuitas : S/ 0.00,OTROS
S/ 0.00,OTROS
Valor Venta,OTROS
"S/ 6,687.10",BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,OTROS
IGV,OTROS
"S/ 1,203.68",BLOQUE_MONTOS
SON: SIETE MIL OCHOCIENTOS NOVENTA Y 78/100 SOLES,BLOQUE_MONEDA
ICBPER :,OTROS
S/ 0.00,OTROS
Orden de Compra : 4600736537,OTROS
Otros Cargos,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de redondeo,OTROS
S/ 0.00,OTROS
Importe Total,OTROS
"S/ 7,890.78",BLOQUE_MONTOS
Información de la detracción,OTROS
Leyenda:,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno Central,OTROS
Bien o Servicio:,OTROS
020 Mantenimiento y reparación de bienes muebles,OTROS
Medio de pago:,OTROS
003 Transferencia de fondos,OTROS
Nro. Cta. Banco de la Nacion:,OTROS
00060031541,OTROS
Porcentaje de detracción:,OTROS
12.00,OTROS
Monto detracción:,OTROS
S/ 947.00,OTROS
Información del crédito,OTROS
Monto neto pendiente de pago,OTROS
"S/ 5,740.10",OTROS
Total de Cuotas,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
N Cuota,OTROS
Fec. Venc.,OTROS
Monto,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
1,OTROS
14/05/2026,BLOQUE_FECHA
"5,740.10",OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
F & L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC: 20515915428,BLOQUE_EMISOR
E001-1215,BLOQUE_COMPROBANTE
LIMA - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 14/04/2026,BLOQUE_FECHA
Forma de pago: Crédito,OTROS
Senor(es),OTROS
: DELOSI S.A.,BLOQUE_RECEPTOR
RUC,OTROS
: 20100123330,BLOQUE_RECEPTOR
AV. JAVIER PRADO OESTE 1650,OTROS
AV. JAVIER PRADO OESTE 1650,OTROS
Dirección del Cliente,OTROS
: LIMA-LIMA-SAN ISIDRO,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
PAGO AFECTO A DETRACCION DEL,OTROS
Observación,OTROS
: 12%,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
MANTENIMIENTO PREVENTIVO DE GRUPO,OTROS
1450.80,BLOQUE_MONTOS
0.00,OTROS
ELECTROGENO CAR01- ENERO 2026 OS.41007908,OTROS
Sub Total Ventas :,OTROS
S/ 1.450.80,BLOQUE_MONTOS
Anticipos,OTROS
S/ 0.00,OTROS
Valor de Venta de Operaciones Gratuitas : S/ 0.00,OTROS
Descuentos,OTROS
S/ 0.00,OTROS
Valor Venta,OTROS
"S/ 1,450.80",BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,OTROS
IGV,OTROS
S/ 261.14,BLOQUE_MONTOS
SON: UN MIL SETECIENTOS ONCE Y 94/100 SOLES,BLOQUE_MONEDA
ICBPER :,OTROS
S/ 0.00,OTROS
Orden de Compra : 4600716089,OTROS
Otros Cargos,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de redondeo,OTROS
S/ 0.00,OTROS
Importe Total,OTROS
"S/ 1,711.94",BLOQUE_MONTOS
Información de la detracción,OTROS
Leyenda:,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno Central,OTROS
Bien o Servicio:,OTROS
020 Mantenimiento y reparación de bienes muebles,OTROS
Medio de pago:,OTROS
003 Transferencia de fondos,OTROS
Nro. Cta. Banco de la Nacion:,OTROS
00060031541,OTROS
Porcentaje de detracción:,OTROS
12.00,OTROS
Monto detracción:,OTROS
S/ 205.00,OTROS
Información del crédito,OTROS
Monto neto pendiente de pago,OTROS
S/1.506.94,OTROS
Total de Cuotas,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
N Cuota,OTROS
Fec. Venc.,OTROS
Monto,OTROS
N Cuota Fec. Venc.,OTROS
Monto,OTROS
1,OTROS
14/05/2026,BLOQUE_FECHA
"1,506.94",OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
F & L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC: 20515915428,BLOQUE_EMISOR
PJ. HERNAN VELARDE 172 INT. 107 CERCADO DE LIMA,OTROS
E001-73,BLOQUE_COMPROBANTE
LIMA - LIMA - LIMA,OTROS
Fecha de Vencimiento,OTROS
Fecha de Emisión,OTROS
: 02/09/2021,BLOQUE_FECHA
Senor(es),OTROS
: DELOSI S.A.,BLOQUE_RECEPTOR
RUC,OTROS
: 20100123330,BLOQUE_RECEPTOR
Dirección del Cliente,OTROS
AV. JAVIER PRADO OESTE 1650,OTROS
: LIMA-LIMA-SAN ISIDRO,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
Observación,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
ABASTECIMIENTO DE COMBUSTIBLE SEGUN ORDEN,OTROS
466.00,BLOQUE_MONTOS
0.00,OTROS
4600303562,OTROS
Sub Total Ventas :,OTROS
S/ 466.00,BLOQUE_MONTOS
Anticipos,OTROS
S/ 0.00,OTROS
Descuentos,OTROS
S/ 0.00,OTROS
Valor de Venta de Operaciones Gratuitas : S/ 0.00,OTROS
Valor Venta,OTROS
S/ 466.00,BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,OTROS
IGV,OTROS
S/ 83.88],BLOQUE_MONTOS
SON: QUINIENTOS CUARENTA Y NUEVE Y 88/100 SOLES,BLOQUE_MONEDA
ICBPER :,OTROS
S/ 0.00,OTROS
Otros Cargos,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de redondeo,OTROS
S/ 0.00],OTROS
Importe Total :,OTROS
S/ 549.88,BLOQUE_MONTOS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
IDELSI,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
IDELSI SOLUCIONES S.A.C.,BLOQUE_EMISOR
RUC: 20611758988,BLOQUE_EMISOR
AV.CARLOS IZAGUIRRE URB. SAN ANTONIO MZA. B LOTE. 05,BLOQUE_COMPROBANTE
E001-105,BLOQUE_COMPROBANTE
SAN MARTIN DE PORRES - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 27/05/2025,BLOQUE_FECHA
Forma de pago: Contado,OTROS
Senor(es),OTROS
: T & T FRUITS S.A.,BLOQUE_RECEPTOR
RUC,OTROS
20522536599,BLOQUE_RECEPTOR
CAL. LAS PLEYADES 333 URB. LA,OTROS
Dirección del Cliente,OTROS
: CAMPINA ZONA CINCO LIMA-LIMA-,OTROS
CHORRILLOS,OTROS
Tipo de Moneda,OTROS
: DOLAR AMERICANO,BLOQUE_MONEDA
Observación,OTROS
CTA CORRIENTE EN DOLARES,OTROS
1917086626188,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
SERVICIO DE EVALUACION Y ARRANQUE DE GRUPO,OTROS
200.00,BLOQUE_MONTOS
0.00,BLOQUE_MONTOS
ELECTROGENO MARCA KHOLER DE 450 KW,OTROS
Sub Total Ventas,OTROS
$ 200.00,BLOQUE_MONTOS
Anticipos,OTROS
$0.00,OTROS
Descuentos,OTROS
Valor de Venta de Operaciones Gratuitas : $0.00,OTROS
$0.00,OTROS
Valor Venta,OTROS
$ 200.00,BLOQUE_MONTOS
ISC,OTROS
$0.00,OTROS
IGV,OTROS
$ 36.00,BLOQUE_MONTOS
SON: DOSCIENTOS TREINTA Y SEIS Y 00/100DOLAR AMERICANO,BLOQUE_MONEDA
ICBPER :,OTROS
$0.00,OTROS
Otros Cargos,OTROS
$0.00,OTROS
Otros Tributos,OTROS
$0.00,OTROS
Monto de redondeo,OTROS
$ 0.00,BLOQUE_MONTOS
Importe Total :,OTROS
$ 236.00,BLOQUE_MONTOS
Información de la detracción,OTROS
Leyenda:,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno Central,OTROS
Bien o Servicio,OTROS
020 Mantenimiento y reparación de bienes muebles,OTROS
Medio de pago:,OTROS
001 Depósito en cuenta,BLOQUE_COMPROBANTE
Nro. Cta. Banco de la Nación:,OTROS
00074252885,OTROS
Porcentaje de detracción:,OTROS
12.00,OTROS
Monto detracción:,OTROS
S/ 103.56,OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
IDELSI,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
IDELSI SOLUCIONES S.A.C.,BLOQUE_EMISOR
RUC: 20611758988,BLOQUE_EMISOR
AV.CARLOS IZAGUIRRE URB. SAN ANTONIO MZA. B LOTE. 05,OTROS
E001-107,BLOQUE_COMPROBANTE
SAN MARTIN DE PORRES - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 12/06/2025,BLOQUE_FECHA
Forma de pago: Contado,OTROS
Senor(es),OTROS
ADMINISTRACION INMOBILIARIA,OTROS
SOCIEDAD ANONIMA CERRADA,OTROS
RUC,OTROS
: 20506628963,BLOQUE_RECEPTOR
CAL. LAS ORQUIDEAS 585 URB.,OTROS
Dirección del Cliente,OTROS
: JARDIN INT. 301A LIMA-LIMA-SAN,OTROS
ISIDRO,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
CTA CORRIENTE BCP SOLES,BLOQUE_MONEDA
Observación,OTROS
1911714286019,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
SERVICIO DE SOPORTE TECNICO CON GRUPO,OTROS
320.00,BLOQUE_MONTOS
0.00,BLOQUE_MONTOS
ELECTROGENO DE AGENCIA CARABAYLLO.,OTROS
Sub Total Ventas :,OTROS
S/ 320.00,BLOQUE_MONTOS
Anticipos,OTROS
S/ 0.00,BLOQUE_MONTOS
Descuentos,OTROS
S/ 0.00,BLOQUE_MONTOS
Valor de Venta de Operaciones Gratuitas : S/ 0.00,BLOQUE_MONTOS
Valor Venta :,OTROS
S/ 320.00,BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,BLOQUE_MONTOS
IGV,OTROS
S/ 57.60,BLOQUE_MONTOS
SON: TRESCIENTOS SETENTA Y SIETE Y 60/100 SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S/ 0.00,BLOQUE_MONTOS
Otros Cargos,OTROS
S/ 0.00,BLOQUE_MONTOS
Otros Tributos,OTROS
S/ 0.00,BLOQUE_MONTOS
Monto de redondeo,OTROS
S/ 0.00,BLOQUE_MONTOS
Importe Total :,OTROS
S/ 377.60,BLOQUE_MONTOS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
F & L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC: 20515915428,BLOQUE_EMISOR
PJ. HERNAN VELARDE 172 CERCADO DE LIMA INT. 107,OTROS
E001-540,BLOQUE_COMPROBANTE
LIMA - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 08/05/2023,BLOQUE_FECHA
Forma de pago: Contado,OTROS
"AVENIDA ARICA NUMERO 1271,",OTROS
Senor(es),OTROS
": 1279, 1281 URBANIZACIóN AZCONA",OTROS
BRENA,OTROS
RUC,OTROS
20608863223,BLOQUE_RECEPTOR
Dirección del Cliente,OTROS
AV. ARICA 1263 DPTO.1606 LIMA-,OTROS
:LIMA-BRENA,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
Observación,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
VALVULA REGULADORA DE PRESION DE AGUA,OTROS
1851.974,BLOQUE_MONTOS
0.00,OTROS
Sub Total Ventas :,OTROS
"S/ 1,851.97]",BLOQUE_MONTOS
Anticipos,OTROS
S/ 0.00,OTROS
Descuentos,OTROS
S/ 0.00,OTROS
Valor de Venta de Operaciones Gratuitas : S/ 0.00,OTROS
Valor Venta,OTROS
"S/ 1,851.97",BLOQUE_MONTOS
ISC :,OTROS
S/ 0.00,OTROS
IGV,OTROS
S/ 333.36,BLOQUE_MONTOS
SON: DOS MIL CIENTO 0CHENTA Y CINCO Y 33/100 SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S/ 0.00,OTROS
Otros Cargos,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de redondeo,OTROS
S/ 0.00,OTROS
Importe Total :,OTROS
"S/ 2,185.33",BLOQUE_MONTOS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SUNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
F & L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC: 20515915428,BLOQUE_EMISOR
PJ. HERNAN VELARDE 172 CERCADO DE LIMA INT. 107,OTROS
E001-381,BLOQUE_COMPROBANTE
